"order_id","order_date","product_name","category_name","quantity","sale_amount","profit","ship_country","customer"
10400,1997-01-01,Thüringer Rostbratwurst,Meat/Poultry,21,2079.0,168.84001922607422,UK,Eastern Connection
10400,1997-01-01,Steeleye Stout,Beverages,35,503.99998664855957,14.349994659423828,UK,Eastern Connection
10400,1997-01-01,Maxilaku,Confections,30,480.0,-25.20000457763672,UK,Eastern Connection
10401,1997-01-01,Nord-Ost Matjeshering,Seafood,18,372.60001373291016,-10.259994506835938,USA,Rattlesnake Canyon Grocery
10401,1997-01-01,Gnocchi di nonna Alice,Grains/Cereals,70,2127.999973297119,484.4000053405762,USA,Rattlesnake Canyon Grocery
10401,1997-01-01,Louisiana Fiery Hot Pepper Sauce,Condiments,20,335.99998474121094,18.59996795654297,USA,Rattlesnake Canyon Grocery
10401,1997-01-01,Flotemysost,Dairy Products,60,1032.0000457763672,197.40005493164062,USA,Rattlesnake Canyon Grocery
10402,1997-01-02,Tunnbröd,Grains/Cereals,60,431.9999885559082,13.799972534179688,Austria,Ernst Handel
10402,1997-01-02,Vegie-spread,Condiments,65,2281.499900817871,98.15013885498047,Austria,Ernst Handel
10403,1997-01-03,Pavlova,Confections,21,248.11499145090585,-60.007499780953026,Austria,Ernst Handel
10403,1997-01-03,Chocolade,Confections,70,606.8999843955041,-72.9750133305788,Austria,Ernst Handel
10404,1997-01-03,Gumbär Gummibärchen,Confections,30,709.6499885715544,-77.74496339030566,Italy,Magazzini Alimentari Riuniti
10404,1997-01-03,Singaporean Hokkien Fried Mee,Grains/Cereals,40,425.59999241828916,31.999999582767487,Italy,Magazzini Alimentari Riuniti
10404,1997-01-03,Maxilaku,Confections,30,455.99999964237213,-55.200005024671555,Italy,Magazzini Alimentari Riuniti
10405,1997-01-06,Aniseed Syrup,Condiments,50,400.0,65.50002098083496,Venezuela,LINO-Delicateses
10406,1997-01-07,Chai,Beverages,10,143.99999618530273,-3.9999961853027344,Brazil,Queen Cozinha
10406,1997-01-07,Sir Rodney's Scones,Confections,30,215.99999964237213,18.599996119737625,Brazil,Queen Cozinha
10406,1997-01-07,Rössle Sauerkraut,Produce,42,1375.9200554001332,-108.36001567125322,Brazil,Queen Cozinha
10406,1997-01-07,Inlagd Sill,Seafood,5,68.39999902844428,7.5499990954995155,Brazil,Queen Cozinha
10406,1997-01-07,Boston Crab Meat,Seafood,2,26.459999612867833,0.11999925851822013,Brazil,Queen Cozinha
10407,1997-01-07,Queso Cabrales,Dairy Products,30,503.9999771118164,13.799972534179688,Germany,Ottilies Käseladen
10407,1997-01-07,Gudbrandsdalsost,Dairy Products,15,431.9999885559082,79.35001373291016,Germany,Ottilies Käseladen
10407,1997-01-07,Flotemysost,Dairy Products,15,258.0000114440918,49.350013732910156,Germany,Ottilies Käseladen
10408,1997-01-08,Gravad lax,Seafood,10,207.99999237060547,2.0000076293945312,France,Folies gourmandes
10408,1997-01-08,Tourtière,Meat/Poultry,6,35.40000057220459,0.6599979400634766,France,Folies gourmandes
10408,1997-01-08,Tarte au sucre,Confections,35,1379.0000534057617,74.1999626159668,France,Folies gourmandes
10409,1997-01-09,Tofu,Produce,12,223.20000457763672,-2.0400009155273438,Argentina,Océano Atlántico Ltda.
10409,1997-01-09,Sir Rodney's Scones,Confections,12,96.0,19.439998626708984,Argentina,Océano Atlántico Ltda.
10410,1997-01-10,Geitost,Dairy Products,49,98.0,2.449997663497925,Canada,Bottom-Dollar Markets
10410,1997-01-10,Raclette Courdavault,Dairy Products,16,704.0,162.08001708984375,Canada,Bottom-Dollar Markets
10411,1997-01-10,Jack's New England Clam Chowder,Seafood,25,153.99999561160803,-51.750007394701214,Canada,Bottom-Dollar Markets
10411,1997-01-10,Gula Malacca,Condiments,40,495.999998152256,-96.7999595940114,Canada,Bottom-Dollar Markets
10411,1997-01-10,Raclette Courdavault,Dairy Products,9,316.79999881982803,-7.829991862177849,Canada,Bottom-Dollar Markets
10412,1997-01-13,Tofu,Produce,20,334.80000631213187,-49.9000022187829,Finland,Wartian Herkku
10413,1997-01-14,Chai,Beverages,24,345.59999084472656,-9.599990844726562,France,La maison d'Asie
10413,1997-01-14,Tarte au sucre,Confections,40,1576.0000610351562,84.79995727539062,France,La maison d'Asie
10413,1997-01-14,Lakkalikööri,Beverages,14,201.59999465942383,4.760002136230469,France,La maison d'Asie
10414,1997-01-14,Teatime Chocolate Biscuits,Confections,18,124.83000316366554,-0.3600075048208282,Brazil,Familia Arquibaldo
10414,1997-01-14,Geitost,Dairy Products,50,100.0,2.499997615814209,Brazil,Familia Arquibaldo
10415,1997-01-15,Alice Mutton,Meat/Poultry,2,62.400001525878906,11.239997863769531,USA,Hungry Coyote Import Store
10415,1997-01-15,Geitost,Dairy Products,20,40.0,0.9999990463256836,USA,Hungry Coyote Import Store
10416,1997-01-16,Teatime Chocolate Biscuits,Confections,20,146.00000381469727,8.799991607666016,Finland,Wartian Herkku
10416,1997-01-16,Perth Pasties,Meat/Poultry,10,262.00000762939453,-0.1000213623046875,Finland,Wartian Herkku
10416,1997-01-16,Ravioli Angelo,Grains/Cereals,20,312.00000762939453,47.40001678466797,Finland,Wartian Herkku
10417,1997-01-16,Côte de Blaye,Beverages,50,10540.00015258789,701.9996643066406,Denmark,Simons bistro
10417,1997-01-16,Spegesild,Seafood,2,14.40000057220459,-2.200000762939453,Denmark,Simons bistro
10417,1997-01-16,Scottish Longbreads,Confections,36,270.0,-55.62000274658203,Denmark,Simons bistro
10417,1997-01-16,Original Frankfurter grüne Soße,Condiments,35,363.99998664855957,21.00001335144043,Denmark,Simons bistro
10418,1997-01-17,Chang,Beverages,60,911.9999885559082,-33.59996795654297,Germany,QUICK-Stop
10418,1997-01-17,Zaanse koeken,Confections,55,417.99999475479126,-25.850014686584473,Germany,QUICK-Stop
10418,1997-01-17,Sirop d'érable,Condiments,16,364.79998779296875,61.920013427734375,Germany,QUICK-Stop
10418,1997-01-17,Longlife Tofu,Produce,15,120.0,-7.050004005432129,Germany,QUICK-Stop
10419,1997-01-20,Camembert Pierrot,Dairy Products,60,1550.400042271614,-202.80001983046532,Switzerland,Richter Supermarkt
10419,1997-01-20,Gudbrandsdalsost,Dairy Products,20,547.1999850749969,69.80001777410507,Switzerland,Richter Supermarkt
10420,1997-01-21,Mishi Kobe Niku,Meat/Poultry,20,1396.7999702215195,-138.60007002949715,Brazil,Wellington Importadora
10420,1997-01-21,Konbu,Seafood,2,8.640000329017639,-1.4600002467632294,Brazil,Wellington Importadora
10420,1997-01-21,Outback Lager,Beverages,8,86.39999985694885,-0.8799974322319031,Brazil,Wellington Importadora
10420,1997-01-21,Röd Kaviar,Seafood,20,215.99999964237213,6.399993449449539,Brazil,Wellington Importadora
10421,1997-01-21,Teatime Chocolate Biscuits,Confections,4,24.820000474452968,-3.760001783370967,Brazil,Que Delícia
