Year,Country,Species,Region,Catch (Tons)
1975,Iceland,Atlantic halibut,"Atlantic, Northeast",1190
1976,Iceland,Atlantic halibut,"Atlantic, Northeast",1697
1977,Iceland,Atlantic halibut,"Atlantic, Northeast",1717
1978,Iceland,Atlantic halibut,"Atlantic, Northeast",1462
1979,Iceland,Atlantic halibut,"Atlantic, Northeast",1587
1980,Iceland,Atlantic halibut,"Atlantic, Northeast",1215
1981,Iceland,Atlantic halibut,"Atlantic, Northeast",1012
1982,Iceland,Atlantic halibut,"Atlantic, Northeast",1174
1983,Iceland,Atlantic halibut,"Atlantic, Northeast",1311
1984,Iceland,Atlantic halibut,"Atlantic, Northeast",1695
1985,Iceland,Atlantic halibut,"Atlantic, Northeast",1691
1986,Iceland,Atlantic halibut,"Atlantic, Northeast",1618
1987,Iceland,Atlantic halibut,"Atlantic, Northeast",1533
1988,Iceland,Atlantic halibut,"Atlantic, Northeast",1539
1989,Iceland,Atlantic halibut,"Atlantic, Northeast",1256
1990,Iceland,Atlantic halibut,"Atlantic, Northeast",1644
1991,Iceland,Atlantic halibut,"Atlantic, Northeast",1891
1992,Iceland,Atlantic halibut,"Atlantic, Northeast",1184
1993,Iceland,Atlantic halibut,"Atlantic, Northeast",1486
1994,Iceland,Atlantic halibut,"Atlantic, Northeast",1427
1995,Iceland,Atlantic halibut,"Atlantic, Northeast",888
1996,Iceland,Atlantic halibut,"Atlantic, Northeast",837
1997,Iceland,Atlantic halibut,"Atlantic, Northeast",677
1998,Iceland,Atlantic halibut,"Atlantic, Northeast",501
1999,Iceland,Atlantic halibut,"Atlantic, Northeast",567
2000,Iceland,Atlantic halibut,"Atlantic, Northeast",493
2001,Iceland,Atlantic halibut,"Atlantic, Northeast",589
2002,Iceland,Atlantic halibut,"Atlantic, Northeast",683
2003,Iceland,Atlantic halibut,"Atlantic, Northeast",634
2004,Iceland,Atlantic halibut,"Atlantic, Northeast",574
2005,Iceland,Atlantic halibut,"Atlantic, Northeast",524
2006,Iceland,Atlantic halibut,"Atlantic, Northeast",447
2007,Iceland,Atlantic halibut,"Atlantic, Northeast",419
2008,Iceland,Atlantic halibut,"Atlantic, Northeast",502
2009,Iceland,Atlantic halibut,"Atlantic, Northeast",498
2010,Iceland,Atlantic halibut,"Atlantic, Northeast",551
2011,Iceland,Atlantic halibut,"Atlantic, Northeast",532
2012,Iceland,Atlantic halibut,"Atlantic, Northeast",35
2013,Iceland,Atlantic halibut,"Atlantic, Northeast",40
2014,Iceland,Atlantic halibut,"Atlantic, Northeast",47
2015,Iceland,Atlantic halibut,"Atlantic, Northeast",91
2016,Iceland,Atlantic halibut,"Atlantic, Northeast",125
2017,Iceland,Atlantic halibut,"Atlantic, Northeast",106
2018,Iceland,Atlantic halibut,"Atlantic, Northeast",139
2019,Iceland,Atlantic halibut,"Atlantic, Northeast",135
1950,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1951,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1952,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1953,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1954,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1955,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1956,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1957,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1958,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1959,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1960,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1961,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1962,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1963,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1964,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1965,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1966,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1967,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1968,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1969,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1970,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1971,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1972,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1973,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1974,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1975,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1976,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1977,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1978,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1979,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1980,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1981,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1982,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1983,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1984,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1985,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1986,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1987,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1988,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1989,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1990,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1991,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1992,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1993,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1994,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1995,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1996,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
1997,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",14
1998,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",21
1999,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",52
2000,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",22
2001,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",7
2002,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",15
2003,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",3
2004,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",1
2005,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",1
2006,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",2
2007,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",0
2008,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",1
2009,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",1
2010,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",2
2011,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",4
2012,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",10
2013,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",13
2014,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",19
2015,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",14
2016,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",32
2017,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",16
2018,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",17
2019,Ireland,Atlantic bluefin tuna,"Atlantic, Northeast",6.4
1950,Ireland,Atlantic cod,"Atlantic, Northeast",900
1951,Ireland,Atlantic cod,"Atlantic, Northeast",600
1952,Ireland,Atlantic cod,"Atlantic, Northeast",700
1953,Ireland,Atlantic cod,"Atlantic, Northeast",900
1954,Ireland,Atlantic cod,"Atlantic, Northeast",1100
1955,Ireland,Atlantic cod,"Atlantic, Northeast",1300
1956,Ireland,Atlantic cod,"Atlantic, Northeast",1200
1957,Ireland,Atlantic cod,"Atlantic, Northeast",1400
1958,Ireland,Atlantic cod,"Atlantic, Northeast",1300
1959,Ireland,Atlantic cod,"Atlantic, Northeast",1200
1960,Ireland,Atlantic cod,"Atlantic, Northeast",1300
1961,Ireland,Atlantic cod,"Atlantic, Northeast",1200
1962,Ireland,Atlantic cod,"Atlantic, Northeast",1000
1963,Ireland,Atlantic cod,"Atlantic, Northeast",1100
1964,Ireland,Atlantic cod,"Atlantic, Northeast",1600
1965,Ireland,Atlantic cod,"Atlantic, Northeast",1800
1966,Ireland,Atlantic cod,"Atlantic, Northeast",2300
1967,Ireland,Atlantic cod,"Atlantic, Northeast",3200
1968,Ireland,Atlantic cod,"Atlantic, Northeast",3500
1969,Ireland,Atlantic cod,"Atlantic, Northeast",3200
1970,Ireland,Atlantic cod,"Atlantic, Northeast",3200
1971,Ireland,Atlantic cod,"Atlantic, Northeast",4000
1972,Ireland,Atlantic cod,"Atlantic, Northeast",3300
1973,Ireland,Atlantic cod,"Atlantic, Northeast",5400
1974,Ireland,Atlantic cod,"Atlantic, Northeast",4443
1975,Ireland,Atlantic cod,"Atlantic, Northeast",5137
1976,Ireland,Atlantic cod,"Atlantic, Northeast",6760
1977,Ireland,Atlantic cod,"Atlantic, Northeast",5297
1978,Ireland,Atlantic cod,"Atlantic, Northeast",4842
1979,Ireland,Atlantic cod,"Atlantic, Northeast",6545
1980,Ireland,Atlantic cod,"Atlantic, Northeast",7780
1981,Ireland,Atlantic cod,"Atlantic, Northeast",10819
1982,Ireland,Atlantic cod,"Atlantic, Northeast",10191
1983,Ireland,Atlantic cod,"Atlantic, Northeast",8193
1984,Ireland,Atlantic cod,"Atlantic, Northeast",6616
1985,Ireland,Atlantic cod,"Atlantic, Northeast",8059
1986,Ireland,Atlantic cod,"Atlantic, Northeast",7203
1987,Ireland,Atlantic cod,"Atlantic, Northeast",9098
1988,Ireland,Atlantic cod,"Atlantic, Northeast",10139
1989,Ireland,Atlantic cod,"Atlantic, Northeast",7457
1990,Ireland,Atlantic cod,"Atlantic, Northeast",6668
1991,Ireland,Atlantic cod,"Atlantic, Northeast",5588
1992,Ireland,Atlantic cod,"Atlantic, Northeast",4837
1993,Ireland,Atlantic cod,"Atlantic, Northeast",3635
1994,Ireland,Atlantic cod,"Atlantic, Northeast",4963
1995,Ireland,Atlantic cod,"Atlantic, Northeast",5650
1996,Ireland,Atlantic cod,"Atlantic, Northeast",7258
1997,Ireland,Atlantic cod,"Atlantic, Northeast",5702
1998,Ireland,Atlantic cod,"Atlantic, Northeast",5294
1999,Ireland,Atlantic cod,"Atlantic, Northeast",3860
2000,Ireland,Atlantic cod,"Atlantic, Northeast",2928
2001,Ireland,Atlantic cod,"Atlantic, Northeast",2653
2002,Ireland,Atlantic cod,"Atlantic, Northeast",2503
2003,Ireland,Atlantic cod,"Atlantic, Northeast",1694
2004,Ireland,Atlantic cod,"Atlantic, Northeast",1247
2005,Ireland,Atlantic cod,"Atlantic, Northeast",1330
2006,Ireland,Atlantic cod,"Atlantic, Northeast",1511
2007,Ireland,Atlantic cod,"Atlantic, Northeast",1791
2008,Ireland,Atlantic cod,"Atlantic, Northeast",1526
2009,Ireland,Atlantic cod,"Atlantic, Northeast",1207
2010,Ireland,Atlantic cod,"Atlantic, Northeast",1272
2011,Ireland,Atlantic cod,"Atlantic, Northeast",1256
2012,Ireland,Atlantic cod,"Atlantic, Northeast",2094
2013,Ireland,Atlantic cod,"Atlantic, Northeast",1959
2014,Ireland,Atlantic cod,"Atlantic, Northeast",1373
2015,Ireland,Atlantic cod,"Atlantic, Northeast",1537
2016,Ireland,Atlantic cod,"Atlantic, Northeast",941
2017,Ireland,Atlantic cod,"Atlantic, Northeast",723
2018,Ireland,Atlantic cod,"Atlantic, Northeast",861
2019,Ireland,Atlantic cod,"Atlantic, Northeast",714.03
1950,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",2054
1951,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",6283
1952,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",13776
1953,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",9541
1954,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",11341
1955,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",12508
1956,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",4962
1957,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",6011
1958,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",3605
1959,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",3026
1960,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",3936
1961,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",7968
1962,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",8153
1963,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",156
1964,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",1461
1965,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",2476
1966,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",969
1967,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",1974
1968,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",696
1969,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",757
1970,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",263
1971,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",568
1972,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",94
1973,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",65
1974,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",865
1975,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",988
1976,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",529
1977,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",764
1978,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",221
1979,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",60
1980,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",282
1981,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",161
1982,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",50
1983,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",1
1984,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",243
1985,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1986,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",31
1987,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1988,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1989,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1990,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1991,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1992,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1993,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1994,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1995,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1996,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1997,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1998,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
1999,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",5
2000,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2001,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2002,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2003,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2004,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2005,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2006,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2007,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2008,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0.29
2009,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2010,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2011,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2012,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2013,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0
2014,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",0.11
2015,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",8
2016,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",44
2017,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",50
2018,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",11
2019,Norway,Atlantic bluefin tuna,"Atlantic, Northeast",49
1950,Norway,Atlantic cod,"Atlantic, Northeast",228900
1951,Norway,Atlantic cod,"Atlantic, Northeast",293100
1952,Norway,Atlantic cod,"Atlantic, Northeast",246400
1953,Norway,Atlantic cod,"Atlantic, Northeast",188000
1954,Norway,Atlantic cod,"Atlantic, Northeast",160000
1955,Norway,Atlantic cod,"Atlantic, Northeast",223800
1956,Norway,Atlantic cod,"Atlantic, Northeast",274400
1957,Norway,Atlantic cod,"Atlantic, Northeast",222200
1958,Norway,Atlantic cod,"Atlantic, Northeast",330600
1959,Norway,Atlantic cod,"Atlantic, Northeast",236300
1960,Norway,Atlantic cod,"Atlantic, Northeast",186600
1961,Norway,Atlantic cod,"Atlantic, Northeast",300000
1962,Norway,Atlantic cod,"Atlantic, Northeast",262800
1963,Norway,Atlantic cod,"Atlantic, Northeast",240300
1964,Norway,Atlantic cod,"Atlantic, Northeast",183200
1965,Norway,Atlantic cod,"Atlantic, Northeast",234700
1966,Norway,Atlantic cod,"Atlantic, Northeast",245900
1967,Norway,Atlantic cod,"Atlantic, Northeast",246100
1968,Norway,Atlantic cod,"Atlantic, Northeast",279200
1969,Norway,Atlantic cod,"Atlantic, Northeast",372800
1970,Norway,Atlantic cod,"Atlantic, Northeast",413500
1971,Norway,Atlantic cod,"Atlantic, Northeast",457100
1972,Norway,Atlantic cod,"Atlantic, Northeast",433600
1973,Norway,Atlantic cod,"Atlantic, Northeast",306800
1974,Norway,Atlantic cod,"Atlantic, Northeast",333051
1975,Norway,Atlantic cod,"Atlantic, Northeast",337291
1976,Norway,Atlantic cod,"Atlantic, Northeast",390355
1977,Norway,Atlantic cod,"Atlantic, Northeast",433065
1978,Norway,Atlantic cod,"Atlantic, Northeast",401911
1979,Norway,Atlantic cod,"Atlantic, Northeast",332217
1980,Norway,Atlantic cod,"Atlantic, Northeast",279162
1981,Norway,Atlantic cod,"Atlantic, Northeast",336927
1982,Norway,Atlantic cod,"Atlantic, Northeast",342283
1983,Norway,Atlantic cod,"Atlantic, Northeast",281432
1984,Norway,Atlantic cod,"Atlantic, Northeast",274771
1985,Norway,Atlantic cod,"Atlantic, Northeast",246363
1986,Norway,Atlantic cod,"Atlantic, Northeast",265156
1987,Norway,Atlantic cod,"Atlantic, Northeast",305205
1988,Norway,Atlantic cod,"Atlantic, Northeast",252409
1989,Norway,Atlantic cod,"Atlantic, Northeast",186353
1990,Norway,Atlantic cod,"Atlantic, Northeast",124235
1991,Norway,Atlantic cod,"Atlantic, Northeast",162972
1992,Norway,Atlantic cod,"Atlantic, Northeast",219094
1993,Norway,Atlantic cod,"Atlantic, Northeast",275238
1994,Norway,Atlantic cod,"Atlantic, Northeast",373577
1995,Norway,Atlantic cod,"Atlantic, Northeast",365333
1996,Norway,Atlantic cod,"Atlantic, Northeast",358395
1997,Norway,Atlantic cod,"Atlantic, Northeast",401277
1998,Norway,Atlantic cod,"Atlantic, Northeast",321428
1999,Norway,Atlantic cod,"Atlantic, Northeast",256555
2000,Norway,Atlantic cod,"Atlantic, Northeast",219197
2001,Norway,Atlantic cod,"Atlantic, Northeast",208977
2002,Norway,Atlantic cod,"Atlantic, Northeast",228096
2003,Norway,Atlantic cod,"Atlantic, Northeast",216905
2004,Norway,Atlantic cod,"Atlantic, Northeast",230743
2005,Norway,Atlantic cod,"Atlantic, Northeast",225705
2006,Norway,Atlantic cod,"Atlantic, Northeast",221056
2007,Norway,Atlantic cod,"Atlantic, Northeast",217757
2008,Norway,Atlantic cod,"Atlantic, Northeast",214810.46
2009,Norway,Atlantic cod,"Atlantic, Northeast",242914.56
2010,Norway,Atlantic cod,"Atlantic, Northeast",282659.8
2011,Norway,Atlantic cod,"Atlantic, Northeast",338698
2012,Norway,Atlantic cod,"Atlantic, Northeast",356746
2013,Norway,Atlantic cod,"Atlantic, Northeast",469930
2014,Norway,Atlantic cod,"Atlantic, Northeast",472129.03
2015,Norway,Atlantic cod,"Atlantic, Northeast",420820
2016,Norway,Atlantic cod,"Atlantic, Northeast",411249
2017,Norway,Atlantic cod,"Atlantic, Northeast",415753
2018,Norway,Atlantic cod,"Atlantic, Northeast",375532
2019,Norway,Atlantic cod,"Atlantic, Northeast",326005
1950,Norway,Atlantic halibut,"Atlantic, Northeast",6100
1951,Norway,Atlantic halibut,"Atlantic, Northeast",5300
1952,Norway,Atlantic halibut,"Atlantic, Northeast",4900
1953,Norway,Atlantic halibut,"Atlantic, Northeast",3700
1954,Norway,Atlantic halibut,"Atlantic, Northeast",4200
1955,Norway,Atlantic halibut,"Atlantic, Northeast",3200
1956,Norway,Atlantic halibut,"Atlantic, Northeast",3400
1957,Norway,Atlantic halibut,"Atlantic, Northeast",3700
1958,Norway,Atlantic halibut,"Atlantic, Northeast",5400
1959,Norway,Atlantic halibut,"Atlantic, Northeast",3900
1960,Norway,Atlantic halibut,"Atlantic, Northeast",4200
1961,Norway,Atlantic halibut,"Atlantic, Northeast",4600
1962,Norway,Atlantic halibut,"Atlantic, Northeast",5400
1963,Norway,Atlantic halibut,"Atlantic, Northeast",4200
1964,Norway,Atlantic halibut,"Atlantic, Northeast",3900
1965,Norway,Atlantic halibut,"Atlantic, Northeast",3700
1966,Norway,Atlantic halibut,"Atlantic, Northeast",2800
1967,Norway,Atlantic halibut,"Atlantic, Northeast",2800
1968,Norway,Atlantic halibut,"Atlantic, Northeast",2800
1969,Norway,Atlantic halibut,"Atlantic, Northeast",2600
1970,Norway,Atlantic halibut,"Atlantic, Northeast",2700
1971,Norway,Atlantic halibut,"Atlantic, Northeast",2400
1972,Norway,Atlantic halibut,"Atlantic, Northeast",2100
1973,Norway,Atlantic halibut,"Atlantic, Northeast",2000
1974,Norway,Atlantic halibut,"Atlantic, Northeast",1452
1975,Norway,Atlantic halibut,"Atlantic, Northeast",1384
1976,Norway,Atlantic halibut,"Atlantic, Northeast",1531
1977,Norway,Atlantic halibut,"Atlantic, Northeast",1357
1978,Norway,Atlantic halibut,"Atlantic, Northeast",1164
1979,Norway,Atlantic halibut,"Atlantic, Northeast",1600
1980,Norway,Atlantic halibut,"Atlantic, Northeast",1282
1981,Norway,Atlantic halibut,"Atlantic, Northeast",590
1982,Norway,Atlantic halibut,"Atlantic, Northeast",501
1983,Norway,Atlantic halibut,"Atlantic, Northeast",849
1984,Norway,Atlantic halibut,"Atlantic, Northeast",744
1985,Norway,Atlantic halibut,"Atlantic, Northeast",614
1986,Norway,Atlantic halibut,"Atlantic, Northeast",785
1987,Norway,Atlantic halibut,"Atlantic, Northeast",757
1988,Norway,Atlantic halibut,"Atlantic, Northeast",720
1989,Norway,Atlantic halibut,"Atlantic, Northeast",855
1990,Norway,Atlantic halibut,"Atlantic, Northeast",418
1991,Norway,Atlantic halibut,"Atlantic, Northeast",355
1992,Norway,Atlantic halibut,"Atlantic, Northeast",659
1993,Norway,Atlantic halibut,"Atlantic, Northeast",589
1994,Norway,Atlantic halibut,"Atlantic, Northeast",754
1995,Norway,Atlantic halibut,"Atlantic, Northeast",551
1996,Norway,Atlantic halibut,"Atlantic, Northeast",678
1997,Norway,Atlantic halibut,"Atlantic, Northeast",878
1998,Norway,Atlantic halibut,"Atlantic, Northeast",672
1999,Norway,Atlantic halibut,"Atlantic, Northeast",696
2000,Norway,Atlantic halibut,"Atlantic, Northeast",1039
2001,Norway,Atlantic halibut,"Atlantic, Northeast",869
2002,Norway,Atlantic halibut,"Atlantic, Northeast",676
2003,Norway,Atlantic halibut,"Atlantic, Northeast",796
2004,Norway,Atlantic halibut,"Atlantic, Northeast",1034
2005,Norway,Atlantic halibut,"Atlantic, Northeast",1076
2006,Norway,Atlantic halibut,"Atlantic, Northeast",1362
2007,Norway,Atlantic halibut,"Atlantic, Northeast",1607
2008,Norway,Atlantic halibut,"Atlantic, Northeast",1746.61
2009,Norway,Atlantic halibut,"Atlantic, Northeast",1538.38
2010,Norway,Atlantic halibut,"Atlantic, Northeast",1872.25
2011,Norway,Atlantic halibut,"Atlantic, Northeast",1974
2012,Norway,Atlantic halibut,"Atlantic, Northeast",2182
2013,Norway,Atlantic halibut,"Atlantic, Northeast",1909
2014,Norway,Atlantic halibut,"Atlantic, Northeast",2342.2
2015,Norway,Atlantic halibut,"Atlantic, Northeast",2410
2016,Norway,Atlantic halibut,"Atlantic, Northeast",2864
2017,Norway,Atlantic halibut,"Atlantic, Northeast",2651
2018,Norway,Atlantic halibut,"Atlantic, Northeast",2711
2019,Norway,Atlantic halibut,"Atlantic, Northeast",3211
1950,United Kingdom,Atlantic cod,"Atlantic, Northeast",327300
1951,United Kingdom,Atlantic cod,"Atlantic, Northeast",454100
1952,United Kingdom,Atlantic cod,"Atlantic, Northeast",465600
1953,United Kingdom,Atlantic cod,"Atlantic, Northeast",437000
1954,United Kingdom,Atlantic cod,"Atlantic, Northeast",433800
1955,United Kingdom,Atlantic cod,"Atlantic, Northeast",455000
1956,United Kingdom,Atlantic cod,"Atlantic, Northeast",474900
1957,United Kingdom,Atlantic cod,"Atlantic, Northeast",415700
1958,United Kingdom,Atlantic cod,"Atlantic, Northeast",409000
1959,United Kingdom,Atlantic cod,"Atlantic, Northeast",401900
1960,United Kingdom,Atlantic cod,"Atlantic, Northeast",364700
1961,United Kingdom,Atlantic cod,"Atlantic, Northeast",338700
1962,United Kingdom,Atlantic cod,"Atlantic, Northeast",360500
1963,United Kingdom,Atlantic cod,"Atlantic, Northeast",346300
1964,United Kingdom,Atlantic cod,"Atlantic, Northeast",314800
1965,United Kingdom,Atlantic cod,"Atlantic, Northeast",328400
1966,United Kingdom,Atlantic cod,"Atlantic, Northeast",331900
1967,United Kingdom,Atlantic cod,"Atlantic, Northeast",343800
1968,United Kingdom,Atlantic cod,"Atlantic, Northeast",401300
1969,United Kingdom,Atlantic cod,"Atlantic, Northeast",450800
1970,United Kingdom,Atlantic cod,"Atlantic, Northeast",408000
1971,United Kingdom,Atlantic cod,"Atlantic, Northeast",360100
1972,United Kingdom,Atlantic cod,"Atlantic, Northeast",349000
1973,United Kingdom,Atlantic cod,"Atlantic, Northeast",323200
1974,United Kingdom,Atlantic cod,"Atlantic, Northeast",315686
1975,United Kingdom,Atlantic cod,"Atlantic, Northeast",289973
1976,United Kingdom,Atlantic cod,"Atlantic, Northeast",254144
1977,United Kingdom,Atlantic cod,"Atlantic, Northeast",174264
1978,United Kingdom,Atlantic cod,"Atlantic, Northeast",150688
1979,United Kingdom,Atlantic cod,"Atlantic, Northeast",130498
1980,United Kingdom,Atlantic cod,"Atlantic, Northeast",124717
1981,United Kingdom,Atlantic cod,"Atlantic, Northeast",140325
1982,United Kingdom,Atlantic cod,"Atlantic, Northeast",137602
1983,United Kingdom,Atlantic cod,"Atlantic, Northeast",134737
1984,United Kingdom,Atlantic cod,"Atlantic, Northeast",110069
1985,United Kingdom,Atlantic cod,"Atlantic, Northeast",109020
1986,United Kingdom,Atlantic cod,"Atlantic, Northeast",89726
1987,United Kingdom,Atlantic cod,"Atlantic, Northeast",110849
